text,name,cr,size,type,tags,section,alignment,environment,ac,hp,init,lair?,legendary?,unique?,sources
mm.aarakocra,Aarakocra,0.5,Medium,Humanoid,Aarakocra,,neutral good,"mountain, planar",12,13,2,,,,"Monster Manual: 12, Princes of the Apocalypse Online Supplement v1.0: 6"
volo.abjurer,Abjurer,9,Medium,Humanoid,Any Race,NPCs,any,urban,12,84,2,,,,Volo's Guide to Monsters: 209
mm.aboleth,Aboleth,10,Large,Aberration,,,lawful evil,"aquatic, coast",17,135,-1,lair,legendary,,"Monster Manual: 13, Princes of the Apocalypse Online Supplement v1.0: 6"
mm.abominable-yeti,Abominable Yeti,9,Huge,Monstrosity,,Yeti,chaotic evil,"arctic, cave, mountain",15,137,0,,,,Monster Manual: 306
mtof.abyssal-wretch,Abyssal Wretch,0.5,Medium,Fiend,Demon,Demons,chaotic evil,planar,11,18,1,,,,Mordenkainen's Tome of Foes: 136
toa.acererak,Acererak,23,Medium,Undead,,,neutral evil,,21,285,3,,legendary,unique,Tomb of Annihilation: 209
mm.acolyte,Acolyte,0.5,Medium,Humanoid,any,NPCs,any,"arctic, desert, dungeon, forest, grassland, mountain, swamp, underground, urban",10,9,0,,,,"Basic Rules v1: 53, HotDQ supplement: 4, Monster Manual: 342"
mm.adult-black-dragon,Adult Black Dragon,14,Huge,Dragon,,Dragons,chaotic evil,swamp,19,195,2,lair,legendary,,"Monster Manual: 88, Princes of the Apocalypse Online Supplement v1.0: 7"
mm.adult-blue-dracolich,Adult Blue Dracolich,17,Huge,Undead,,Dracolich,lawful evil,"desert, dungeon",19,225,0,lair,legendary,,Monster Manual: 84
mm.adult-blue-dragon,Adult Blue Dragon,16,Huge,Dragon,,Dragons,lawful evil,desert,19,225,0,lair,legendary,,"HotDQ supplement: 4, Monster Manual: 91"
mm.adult-brass-dragon,Adult Brass Dragon,13,Huge,Dragon,,Dragons,chaotic good,"cave, underground",18,172,0,lair,legendary,,Monster Manual: 105
mm.adult-bronze-dragon,Adult Bronze Dragon,15,Huge,Dragon,,Dragons,lawful good,coast,19,212,0,lair,legendary,,"Monster Manual: 108, Princes of the Apocalypse Online Supplement v1.0: 7"
