name	cr	size	type	tags	alignment	environment	ac	hp	init	legendary?	unique?	sources
Aarakocra	0.5	Medium	Humanoid	Aarakocra	neutral good	"mountain, planar"	12	13	2			"Monster Manual: 12, Princes of the Apocalypse Online Supplement v1.0: 6"
Abjurer	9	Medium	Humanoid	Any Race	any	urban	12	84	2			Volo's Guide to Monsters: 209
Aboleth	10	Large	Aberration		lawful evil	"aquatic, coast"	17	135	-1	legendary		"Monster Manual: 13, Princes of the Apocalypse Online Supplement v1.0: 6"
Abominable Yeti	9	Huge	Monstrosity		chaotic evil	"arctic, cave, mountain"	15	137	0			Monster Manual: 306
Abyssal Wretch	0.5	Medium	Fiend	Demon	chaotic evil	planar	11	18	1			Mordenkainen's Tome of Foes: 136
Acererak	23	Medium	Undead		neutral evil		21	285	3	legendary	unique	Tomb of Annihilation: 209
Acolyte	0.5	Medium	Humanoid	any	any	"arctic, desert, dungeon, forest, grassland, mountain, swamp, underground, urban"	10	9	0			"Basic Rules v1: 53, HotDQ supplement: 4, Monster Manual: 342"
Adult Black Dragon	14	Huge	Dragon		chaotic evil	swamp	19	195	2	legendary		"Monster Manual: 88, Princes of the Apocalypse Online Supplement v1.0: 7"
Adult Blue Dracolich	17	Huge	Undead		lawful evil	"desert, dungeon"	19	225	0	legendary		Monster Manual: 84
Adult Blue Dragon	16	Huge	Dragon		lawful evil	desert	19	225	0	legendary		"HotDQ supplement: 4, Monster Manual: 91"
Adult Brass Dragon	13	Huge	Dragon		chaotic good	"cave, underground"	18	172	0	legendary		Monster Manual: 105
Adult Bronze Dragon	15	Huge	Dragon		lawful good	coast	19	212	0	legendary		"Monster Manual: 108, Princes of the Apocalypse Online Supplement v1.0: 7"
Adult Copper Dragon	14	Huge	Dragon		chaotic good	"cave, desert, grassland"	18	184	1	legendary		Monster Manual: 112
Adult Gold Dragon	17	Huge	Dragon		lawful good	"mountain, ruins"	19	256	2	legendary		Monster Manual: 114
Adult Green Dragon	15	Huge	Dragon		lawful evil	forest	19	207	1	legendary		Monster Manual: 94
Adult Kruthik	2	Medium	Monstrosity		unaligned	"cave, underground"	18	39	3			Mordenkainen's Tome of Foes: 212
Adult Oblex	5	Medium	Ooze		lawful evil	underground	14	75	3			Mordenkainen's Tome of Foes: 218
Adult Red Dragon	17	Huge	Dragon		chaotic evil	mountain	19	256	0	legendary		"Basic Rules v1: 8, Monster Manual: 98"
Adult Silver Dragon	16	Huge	Dragon		lawful good	"arctic, mountain"	19	243	0	legendary		Monster Manual: 117
Adult White Dragon	13	Huge	Dragon		chaotic evil	"arctic, cave, underground"	18	200	0	legendary		"HotDQ supplement: 5, Monster Manual: 101"
Aerisi Kalinoth	7	Medium	Humanoid	Elf	neutral evil		13	66	3		unique	Princes of the Apocalypse: 192
Aerisi Kalinoth (in lair)	9	Medium	Humanoid	Elf	neutral evil		13	66	3		unique	Princes of the Apocalypse: 192
Air Elemental	5	Large	Elemental		neutral	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"	15	90	5			"Basic Rules v1: 9, HotDQ supplement: 5, Monster Manual: 124"
Air Elemental Myrmidon	7	Medium	Elemental		neutral	"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground"	18	117	2			Princes of the Apocalypse: 212
